Canonical,E-Number,Type,Synonym
Aspartame,E951,Restricted,Aspartame
Aspartame,E951,Restricted,L-aspartyl-L-phenylalanine methyl ester
Aspartame,E951,Restricted,Contains phenylalanine (warning text)
Sucralose,E955,Restricted,Sucralose
Sucralose,E955,Restricted,Trichlorogalactosucrose
Maltitol,E965,Restricted,Maltitol
Maltitol,E965,Restricted,Maltitol syrup
Maltitol,E965,Restricted,Hydrogenated maltose
Maltodextrin,,Restricted,Maltodextrin
Maltodextrin,,Restricted,Corn maltodextrin
Maltodextrin,,Restricted,Potato maltodextrin
Glycerol,E422,Restricted,Glycerol
Glycerol,E422,Restricted,Glycerin
Glycerol,E422,Restricted,Glycerine
Xylitol,E967,Restricted,Xylitol
Xylitol,E967,Restricted,Birch sugar
Sodium benzoate,E211,Restricted,Sodium benzoate
Sodium benzoate,E211,Restricted,Benzoate of soda
Sodium benzoate,E211,Restricted,Benzoic acid salts
Xanthan gum,E415,Restricted,Xanthan gum
Carboxymethylcellulose,E466,Restricted,Carboxymethylcellulose
Carboxymethylcellulose,E466,Restricted,CMC
Carboxymethylcellulose,E466,Restricted,Cellulose gum
Emulsifiers,E322,Restricted,Lecithins
Emulsifiers,E471,Restricted,Mono- and diglycerides of fatty acids
Emulsifiers,E432,Restricted,Polysorbates
Emulsifiers,E433,Restricted,Polysorbates
Emulsifiers,E434,Restricted,Polysorbates
Emulsifiers,E435,Restricted,Polysorbates
Emulsifiers,E436,Restricted,Polysorbates
Emulsifiers,E491,Restricted,Sorbitan esters
Emulsifiers,E492,Restricted,Sorbitan esters
Emulsifiers,E493,Restricted,Sorbitan esters
Emulsifiers,E494,Restricted,Sorbitan esters
Emulsifiers,E495,Restricted,Sorbitan esters
Polydextrose,E1200,Restricted,Polydextrose
Oligofructose / FOS,,Restricted,Oligofructose
Oligofructose / FOS,,Restricted,Fructo-oligosaccharides
Oligofructose / FOS,,Restricted,FOS
Oligofructose / FOS,,Restricted,Inulin-type fructans
Oligofructose / FOS,,Restricted,Chicory root fibre
