Authorised Novel Food,Synonyms
"(6S)-5-methyltetrahydrofolic acid, glucosamine salt","6S|-5-methyltetrahydrofolic acid, glucosamine salt|(6S)-5-methyltetrahydrofolic acid, glucosamine salt"
1-Methylnicotinamide chloride,1-Methylnicotinamide chloride
2′-Fucosyllactose,2′-Fucosyllactose
2′-Fucosyllactose/Difucosyllactose mixture (‘2′-FL/DFL’),‘2′-FL/DFL’|2′-Fucosyllactose/Difucosyllactose mixture (‘2′-FL/DFL’)|2′-Fucosyllactose/Difucosyllactose mixture
3'-Sialyllactose (3'-SL) sodium salt,3'-SL|3'-Sialyllactose (3'-SL) sodium salt|3'-Sialyllactose sodium salt
3-Fucosyllactose (‘3-FL’),3-Fucosyllactose (‘3-FL’)|‘3-FL’|3-Fucosyllactose
3′-Sialyllactose (‘3′-SL’) sodium salt,‘3′-SL’|3′-Sialyllactose sodium salt|3′-Sialyllactose (‘3′-SL’) sodium salt
6’-Sialyllactose (‘6’-SL’) sodium salt,‘6’-SL’|6’-Sialyllactose sodium salt|6’-Sialyllactose (‘6’-SL’) sodium salt
Acheta domesticus (house cricket) partially defatted powder,house cricket|Acheta domesticus partially defatted powder|Acheta domesticus (house cricket) partially defatted powder
Adansonia digitata (Baobab) dried fruit pulp,Baobab|Adansonia digitata dried fruit pulp|Adansonia digitata (Baobab) dried fruit pulp
Ajuga reptans extract from cell cultures,Ajuga reptans extract from cell cultures|Ajuga reptans extract|cell cultures
Akkermansia muciniphila (pasteurised),Akkermansia muciniphila (pasteurised)|Akkermansia muciniphila|pasteurised
Algal oil from the microalgae Ulkenia sp.,the microalgae Ulkenia sp.|Algal oil|Algal oil from the microalgae Ulkenia sp.
Allanblackia seed oil,Allanblackia seed oil
Aloe macroclada Baker leaf extract,Aloe macroclada Baker leaf extract
Antarctic Krill oil from Euphausia superba,Antarctic Krill oil from Euphausia superba
Antarctic Krill oil rich in phospholipids from Euphausia superba,Antarctic Krill oil rich in phospholipids from Euphausia superba
Antrodia camphorata mycelia powder,Antrodia camphorata mycelia powder
Apple fruit cell culture biomass,Apple fruit cell culture biomass
Aqueous ethanolic extract of Labisia pumila,Aqueous ethanolic extract of Labisia pumila
Aqueous extract of dried leaves of Ilex guayusa,Aqueous extract of dried leaves of Ilex guayusa
Aqueous extracts of dried leaves of Ilex guayusa,Aqueous extracts of dried leaves of Ilex guayusa
Arachidonic acid-rich oil from the fungus Mortierella alpina,the fungus Mortierella alpina|Arachidonic acid-rich oil from the fungus Mortierella alpina|Arachidonic acid-rich oil
Argan oil from Argania spinosa,Argan oil from Argania spinosa
Astaxanthin-rich oleoresin from Haematococcus pluvialis algae,Astaxanthin-rich oleoresin from Haematococcus pluvialis algae
Basil seeds (Ocimum basilicum),Basil seeds (Ocimum basilicum)|Basil seeds|Ocimum basilicum
